Nom;Ticker;Coef;Days;DE_Ratio;Fair_Value;Date_MAJ;Best_MT;Best_CT
IDEX Corporation;IEX;0.79;730;47.06;254.5;01/09/2026;60;30
Idexx Laboratories;IDXX;0.79;730;67.97;698.923;01/09/2026;60;30
Illinois Tool Works;ITW;0.79;730;334.85;301.857;01/09/2026;60;30
Incyte;INCY;8;730;0.6;127.125;01/09/2026;40;20
Ingersoll Rand;IR;0.79;730;47.9;96.25;01/09/2026;60;30
Insulet Corporation;PODD;0.79;730;66.69;171.909;01/09/2026;60;30
Intel;INTC;0.79;730;49;114.878;01/09/2026;60;30
Interactive Brokers;IBKR;0.79;730;205.75;106.133;01/09/2026;60;30
Intercontinental Exchange;ICE;0.79;730;69.23;186.643;01/09/2026;60;30
International Flavors & Fragrances;IFF;0.79;730;44.82;95.656;01/09/2026;60;30
International Paper;IP;0.79;730;68.51;48;01/09/2026;60;30
Intuit;INTU;2;730;43.89;418.456;01/09/2026;40;20
Intuitive Surgical;ISRG;0.79;730;nan;478.009;01/09/2026;60;30
Invesco;IVZ;0.79;730;12.06;33.375;01/09/2026;60;30
Invitation Homes;INVH;0.79;730;94.42;33.565;01/09/2026;60;30
IQVIA;IQV;0.79;730;257.98;275.167;01/09/2026;60;30
Iron Mountain;IRM;1;730;nan;146.1;01/09/2026;40;20
J.B. Hunt;JBHT;0.79;730;38.37;305.455;01/09/2026;60;30
Jabil;JBL;0.79;730;297.14;441.444;01/09/2026;60;30
Jack Henry & Associates;JKHY;0.79;730;6.4;191.533;01/09/2026;60;30
Jacobs Solutions;J;0.79;730;124.73;162.533;01/09/2026;60;30
Johnson & Johnson;JNJ;0.79;730;57.71;272.5;01/09/2026;60;30
Johnson Controls;JCI;0.79;730;70.11;163.105;01/09/2026;60;30
JPMorgan Chase;JPM;2;730;nan;374.571;01/09/2026;40;20
Kenvue;KVUE;0.79;730;81.62;19.5;01/09/2026;60;30
Keurig Dr Pepper;KDP;0.79;730;99.65;36.206;01/09/2026;60;30
KeyCorp;KEY;2;730;nan;26.021;01/09/2026;50;10
Keysight Technologies;KEYS;0.79;730;41.79;415.083;01/09/2026;60;30
Kimberly-Clark;KMB;0.79;730;348.93;118.6;01/09/2026;60;30
Kimco Realty;KIM;0.79;730;84.99;27.011;01/09/2026;60;30
Kinder Morgan;KMI;0.79;730;98.62;35.81;01/09/2026;60;30
KKR & Co.;KKR;0.79;730;69.81;127.976;01/09/2026;60;30
KLA Corporation;KLAC;0.79;730;96.88;234.346;01/09/2026;60;30
Kraft Heinz;KHC;0.79;730;52.59;25.088;01/09/2026;60;30
Kroger;KR;0.79;730;373.45;70.455;01/09/2026;60;30
L3Harris;LHX;0.79;730;34.57;339.5;01/09/2026;60;30
Labcorp;LH;0.79;730;79.12;341.5;01/09/2026;60;30
Lam Research;LRCX;0.79;730;33.05;371.194;01/09/2026;60;30
Lamb Weston;LW;0.79;730;221.22;55.25;01/09/2026;60;30
Las Vegas Sands;LVS;0.79;730;1703.9;59.068;01/09/2026;60;30
Leidos;LDOS;0.79;730;123.28;156.6;01/09/2026;60;30
Lennar;LEN;0.79;730;28.69;86.231;01/09/2026;60;30
Lennox International;LII;0.79;730;156.08;511.154;01/09/2026;60;30
Lilly (Eli);LLY;0.79;730;162.07;1315.041;01/09/2026;60;30
Linde plc;LIN;0.79;730;68.95;547.24;01/09/2026;60;30
Live Nation Entertainment;LYV;0.79;730;620.21;201.958;01/09/2026;60;30
Lockheed Martin;LMT;0.79;730;234.24;632.947;01/09/2026;60;30
Loews Corporation;L;0.79;730;44.61;140.277;01/09/2026;60;30
Lowe's;LOW;1;730;nan;254.364;01/09/2026;60;30
Lululemon Athletica;LULU;0.79;730;44.26;127.346;01/09/2026;60;30
